NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCR;PCR;PERC_PCR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS
CATALUNYA;CATALUNYA;2020-10-11;2020-10-17;--;;;0.0000;364;0.0000;2751;9.6798;46;8;1
CATALUNYA;CATALUNYA;2020-10-11;2020-10-17;Si;;;482.8408;316;7294.5634;4774;7.5206;56;3;39
CATALUNYA;CATALUNYA;2020-10-11;2020-10-17;No;541.446;1.38343;223.3903;16992;2131.9370;162164;11.0385;785;146;85
CATALUNYA;CATALUNYA;2020-10-10;2020-10-16;No;504.344;1.31735;221.0107;16811;2078.1666;158074;11.0613;752;145;78
CATALUNYA;CATALUNYA;2020-10-10;2020-10-16;--;;;0.0000;357;0.0000;2813;9.2513;42;8;1
CATALUNYA;CATALUNYA;2020-10-10;2020-10-16;Si;;;456.8652;299;7601.6868;4975;6.9293;47;3;42
CATALUNYA;CATALUNYA;2020-10-09;2020-10-15;No;495.189;1.37432;212.4916;16163;1978.8820;150522;10.8637;724;126;76
CATALUNYA;CATALUNYA;2020-10-09;2020-10-15;--;;;0.0000;354;0.0000;2666;8.9462;43;8;1
CATALUNYA;CATALUNYA;2020-10-09;2020-10-15;Si;;;406.4419;266;6973.6882;4564;6.5349;46;3;43
CATALUNYA;CATALUNYA;2020-10-08;2020-10-14;--;;;0.0000;324;0.0000;2499;7.9500;31;7;0
CATALUNYA;CATALUNYA;2020-10-08;2020-10-14;Si;;;438.5294;287;6082.8774;3981;8.5009;46;4;44
CATALUNYA;CATALUNYA;2020-10-08;2020-10-14;No;464.484;1.37881;199.8181;15199;1844.8110;140324;10.6296;724;128;72
CATALUNYA;CATALUNYA;2020-10-07;2020-10-13;No;436.596;1.41058;181.8333;13831;1750.1672;133125;10.0179;686;116;68
CATALUNYA;CATALUNYA;2020-10-07;2020-10-13;--;;;0.0000;292;0.0000;2360;7.0483;38;6;0
CATALUNYA;CATALUNYA;2020-10-07;2020-10-13;Si;;;401.8580;263;5783.3939;3785;8.4795;50;3;48
CATALUNYA;CATALUNYA;2020-10-06;2020-10-12;No;407.387;1.44001;163.4015;12429;1783.8887;135690;9.1751;645;106;67
CATALUNYA;CATALUNYA;2020-10-06;2020-10-12;--;;;0.0000;268;0.0000;2578;6.0109;36;7;0
CATALUNYA;CATALUNYA;2020-10-06;2020-10-12;Si;;;388.1062;254;5430.4311;3554;8.8235;49;3;52
CATALUNYA;CATALUNYA;2020-10-05;2020-10-11;--;;;0.0000;296;0.0000;2682;6.1937;37;8;0
CATALUNYA;CATALUNYA;2020-10-05;2020-10-11;Si;;;432.4175;283;6050.7899;3960;8.8806;46;2;53
CATALUNYA;CATALUNYA;2020-10-05;2020-10-11;No;421.825;1.47196;174.1950;13250;1990.9245;151438;8.6047;646;109;61
CATALUNYA;CATALUNYA;2020-10-04;2020-10-10;--;;;0.0000;287;0.0000;2708;5.9851;38;10;0
CATALUNYA;CATALUNYA;2020-10-04;2020-10-10;Si;;;369.7704;242;5807.8415;3801;8.0235;45;2;53
CATALUNYA;CATALUNYA;2020-10-04;2020-10-10;No;402.26;1.44622;167.9897;12778;1968.2725;149715;8.3851;619;100;53
